  #ID,  diet code,   Nf_g,   Cw_g,   Cd_g,   Nm_g,   Cm_g
  145, 14-57-29-4, 0.361173, 1.048394, 0.231077, 0.046394, 0.185575
  146, 42-29-29-4, 1.575063, 0.479002, 0.335906, 0.046394, 0.185575
  147, 42-29-29-4, 1.002573, 0.304898, 0.213814, 0.046394, 0.185575
  148, 23-38-38-4, 0.876159, 0.827711, 0.341184, 0.046394, 0.185575
  149, 23-38-38-4, 0.713727, 0.674261, 0.277931, 0.046394, 0.185575
  150, 60-20-20-2, 1.107738, 0.070432, 0.165334, 0.046394, 0.185575
  151, 60-20-20-2, 0.965711, 0.061402, 0.144136, 0.046394, 0.185575
  152, 33-48-20-2, 0.737943, 0.710225, 0.200856, 0.046394, 0.185575
  153, 33-48-20-2, 0.670354, 0.645175, 0.182459, 0.046394, 0.185575
  154, 33-20-48-2, 0.663436, 0.076889, 0.180576, 0.046394, 0.185575
  155, 33-20-48-2, 0.616406, 0.071439, 0.167775, 0.046394, 0.185575
  156, 14-29-57-2, 0.315848, 0.287979, 0.201949, 0.046394, 0.185575
  157, 14-29-57-2, 0.287323, 0.261971, 0.183710, 0.046394, 0.185575
  158, 14-57-29-2, 0.332520, 0.964818, 0.212609, 0.046394, 0.185575
  159, 14-57-29-2, 0.295174, 0.856458, 0.188730, 0.046394, 0.185575
  160, 42-29-29-2, 1.014785, 0.308547, 0.216372, 0.046394, 0.185575
  161, 42-29-29-2, 0.919209, 0.279487, 0.195993, 0.046394, 0.185575
  162, 23-38-38-2, 0.498224, 0.468848, 0.193260, 0.046394, 0.185575
  163, 23-38-38-2, 0.484227, 0.455677, 0.187831, 0.046394, 0.185575
  164, 60-20-20-3, 1.811210, 0.115233, 0.270923, 0.046394, 0.185575
  165, 60-20-20-3, 1.070996, 0.068139, 0.160201, 0.046394, 0.185575
  166,  5-75-20-3, 0.138809, 1.623911, 0.248406, 0.046394, 0.185575
  167,  5-75-20-3, 0.112368, 1.314582, 0.201088, 0.046394, 0.185575
  168, 33-48-20-3, 0.751609, 0.721937, 0.204168, 0.046394, 0.185575
  169, 33-48-20-3, 0.668371, 0.641985, 0.181557, 0.046394, 0.185575
  170, 33-20-48-3, 0.852477, 0.098617, 0.231568, 0.046394, 0.185575
  171, 33-20-48-3, 0.643553, 0.074448, 0.174815, 0.046394, 0.185575
  172, 14-29-57-3, 0.502748, 0.456617, 0.320358, 0.046394, 0.185575
  173, 14-29-57-3, 0.448810, 0.407628, 0.285988, 0.046394, 0.185575
  174, 14-57-29-3, 0.360741, 1.042991, 0.229869, 0.046394, 0.185575
