Mouse_identifier,Cage No,Sex,%P/%C/%F,Diet Code,Sequence_run_identifier,Energy density,Energy,Prot in diet (kJ/kg D.wt),CHO in diet (kJ/kg D.wt),Fat in diet (kJ/kg D.wt),Food eaten g/mouse/d,eaten.P,eaten.C,eaten.F,Total Energy intake (kJ/d),Mouse_DNAsample_identifier,Mouse_biologicalsample_identifier,Firmicutes_Phylum,Bacteroidetes_Phylum,Clostridia_Class,Bacillae_Class,Erysipelotrichia_Class,Deferribacteres_Class,Verrucomicrobia_Class,Lachnospiraceae_Family,Clostridiaceae_Family,Ruminococcaceae_Family,Eubacteriaceae_Family,Rikenellaceae_Family,Bacteroidaceae_Family,Total_reads
171,125,M,33/48/20,SF09-052,TRTL_0711_13,2 kcal,LOW,2766.23,4016.64,1673.6,4.07,11.25,16.34,6.81,34.4,171_cecum_1,171_cecum,77.4,9.9,71.4,6,0,5,0.9,13,13.8,18.8,20.1,0.5,4.4,26031
172,126,F,33/48/20,SF09-052,TRTL_0711_14,2 kcal,LOW,2766.23,4016.64,1673.6,3.45,9.55,13.87,5.78,29.19,172_cecum_1,172_cecum,67.1,24.8,63.7,3,0.4,2.6,2.8,6.7,16.6,17.6,16.3,0.8,11,14618
114,27,M,33/48/20,SF09-053,TRTL_0211_14,3 kcal,MED,4149.34,6024.96,2510.4,3.21,13.31,19.32,8.05,40.68,114_cecum_1,114_cecum,94.1,4,88.8,2.5,0.1,1.4,0.1,20,43.9,4.6,11.2,0.8,2.9,9650
115,28,F,33/48/20,SF09-053,TRTL_0211_15,3 kcal,MED,4149.34,6024.96,2510.4,2.69,11.15,16.19,6.75,34.09,115_cecum_1,115_cecum,77.6,19.8,74,1,0,1.1,0,6.7,52.1,4.8,6.9,3.3,15.4,7365
148,87,M,33/48/20,SF09-053,TRTL_0211_48,3 kcal,MED,4149.34,6024.96,2510.4,3.22,13.36,19.4,8.08,40.83,148_cecum_1,148_cecum,69.3,25.4,65.5,1.7,0.1,3.2,0,14.3,28.4,9,7.6,6.1,17.7,11764
149,88,F,33/48/20,SF09-053,TRTL_0211_49,3 kcal,MED,4149.34,6024.96,2510.4,2.7,11.2,16.26,6.77,34.23,149_cecum_1,149_cecum,58.8,28.3,51.4,1.2,0.7,12.4,0,15,22.2,5.7,4.3,4.5,22.1,8535
184,141,M,33/48/20,SF09-053,TRTL_0711_26,3 kcal,MED,4149.34,6024.96,2510.4,2.84,11.78,17.1,7.12,36,184_cecum_1,184_cecum,71.5,10.9,67.6,3.7,0.3,11.5,0,7.5,20.7,17.5,14.4,0.9,4.4,20358
185,142,F,33/48/20,SF09-053,TRTL_0711_27,3 kcal,MED,4149.34,6024.96,2510.4,2.54,10.54,15.3,6.38,32.22,185_cecum_1,185_cecum,84.9,12,78.9,5.6,0.4,1,0.3,9.5,33,17.8,13.2,1.3,4.8,10813
131,47,M,33/48/20,SF09-054,TRTL_0211_31,4 kcal,HIGH,5532.46,8033.28,3347.2,2.93,16.19,23.51,9.79,49.49,131_cecum_1,131_cecum,92,7.5,77,0.2,13.8,0,0,1.6,67.8,1.7,0.8,0.6,5.6,16474
132,48,F,33/48/20,SF09-054,TRTL_0211_32,4 kcal,HIGH,5532.46,8033.28,3347.2,2.29,12.64,18.36,7.65,38.64,132_cecum_1,132_cecum,98.9,0.5,66.9,0.1,19.6,0,0,0.4,54.9,1.2,0.5,0,0.2,17001
161,107,M,33/48/20,SF09-054,TRTL_0711_3,4 kcal,HIGH,5532.46,8033.28,3347.2,2.96,16.37,23.77,9.9,50.04,161_cecum_1,161_cecum,95.7,2.9,91.4,3.2,1.2,0,0.2,0.6,89.2,0.9,0.3,0.1,0.5,26088
195,161,M,33/48/20,SF09-054,TRTL_0711_37,4 kcal ,HIGH,5532.46,8033.28,3347.2,2.83,15.67,22.76,9.48,47.91,195_cecum_1,195_cecum,71.9,22.8,66.9,1.7,3.3,0,2.2,4.9,47.3,7,3.2,0.6,5.1,7437
196,162,F,33/48/20,SF09-054,TRTL_0711_38,4 kcal ,HIGH,5532.46,8033.28,3347.2,2.13,11.8,17.13,7.14,36.07,196_cecum_1,196_cecum,82,13.7,59.9,14,8.1,0,0.2,6,42.3,6.4,2.5,0.5,4.7,13147
106,10,F,33/20/48,SF09-055,TRTL_0211_6,2 kcal,LOW,2766.23,1673.6,4016.64,3.99,11.03,6.68,16.02,33.73,106_cecum_1,106_cecum,49.6,33.7,47.8,1.1,0.2,5.5,10.3,14.5,14.4,6.9,4.3,7.9,23.6,7663
143,70,F,33/20/48,SF09-055,TRTL_0211_43,2 kcal,LOW,2766.23,1673.6,4016.64,3.81,10.53,6.37,15.3,32.2,143_cecum_1,143_cecum,52.4,27.9,49.3,1,0,15.1,2.8,14.9,14.4,9.7,5.2,5.9,17.5,10498
173,127,M,33/20/48,SF09-055,TRTL_0711_15,2 kcal,LOW,2766.23,1673.6,4016.64,3.38,9.35,5.66,13.58,28.58,173_cecum_1,173_cecum,57.2,27.5,54.4,2.8,0,0.9,11.9,10.8,12.8,12.5,10.1,1.7,9.8,19249
174,128,F,33/20/48,SF09-055,TRTL_0711_16,2 kcal,LOW,2766.23,1673.6,4016.64,3.56,9.84,5.95,14.29,30.08,174_cecum_1,174_cecum,77.3,15.9,74.7,2.6,0,0.8,3.3,6.8,18.4,19.3,18.4,0.7,5.7,14330
207,182,F,33/20/48,SF09-055,TRTL_0711_49,2 kcal,LOW,2766.23,1673.6,4016.64,3.36,9.28,5.62,13.48,28.38,207_cecum_1,207_cecum,50.6,16.2,47.7,2.5,0.4,4.4,27.3,7.1,12.9,9.7,10.3,1.8,2.4,8429
116,29,M,33/20/48,SF09-056,TRTL_0211_16,3 kcal,MED,4149.34,2510.4,6024.96,3.06,12.7,7.69,18.45,38.84,116_cecum_1,116_cecum,90,7.6,82.5,6,0,0,0.6,35.8,18.2,12.1,9.4,2,5.3,8452
117,30,F,33/20/48,SF09-056,TRTL_0211_17,3 kcal,MED,4149.34,2510.4,6024.96,2.87,11.91,7.21,17.3,36.42,117_cecum_1,117_cecum,43.6,44.5,42,0.9,0.1,7.5,2.9,12.9,15.4,6.2,5.2,3.6,38,10065
150,89,M,33/20/48,SF09-056,TRTL_0211_50,3 kcal,MED,4149.34,2510.4,6024.96,3.33,13.81,8.35,20.05,42.2,150_cecum_1,150_cecum,68.4,24.1,64.9,1.7,0.1,5.6,0.6,18.5,20.7,8.2,6.1,5.1,15.3,9976
151,90,F,33/20/48,SF09-056,TRTL_0211_51,3 kcal,MED,4149.34,2510.4,6024.96,2.79,11.56,6.99,16.79,35.34,151_cecum_1,151_cecum,47.8,35.7,44.6,0.8,0.5,13.9,2.1,7.6,18,7.3,7.8,5.5,21.4,10743
186,143,M,33/20/48,SF09-056,TRTL_0711_28,3 kcal,MED,4149.34,2510.4,6024.96,3.19,13.26,8.02,19.25,40.52,186_cecum_1,186_cecum,79.9,14.9,77.6,2.2,0.1,0,3.8,5.7,50,9,8.6,1.6,3.9,9139
187,144,F,33/20/48,SF09-056,TRTL_0711_29,3 kcal,MED,4149.34,2510.4,6024.96,2.79,11.57,7,16.8,35.37,187_cecum_1,187_cecum,68.2,12.5,65,3.2,0,16.3,0.1,12.3,33.4,8.3,6.6,3.9,4.5,17272
133,49,M,33/20/48,SF09-057,TRTL_0211_33,4 kcal,HIGH,5532.45,3347.2,8033.28,2.53,13.97,8.46,20.29,42.72,133_cecum_1,133_cecum,82.2,14.2,78.5,1.2,0,0.6,0,8.2,42.9,8.8,11.8,0.6,10.3,10521
134,50,F,33/20/48,SF09-057,TRTL_0211_34,4 kcal,HIGH,5532.45,3347.2,8033.28,2.22,12.26,7.42,17.8,37.48,134_cecum_1,134_cecum,87.5,8.9,79.4,4.9,0.2,3.3,0,16.7,34.6,11.9,11.6,1.5,6.5,55152
162,110,F,33/20/48,SF09-057,TRTL_0711_4,4 kcal,HIGH,5532.45,3347.2,8033.28,2.35,13.01,7.87,18.89,39.78,162_cecum_1,162_cecum,80.4,11.9,66.7,13.6,0.1,0.4,0,13.5,29.8,9.3,10.7,0.3,5.9,4763
197,163,M,33/20/48,SF09-057,TRTL_0711_39,4 kcal ,HIGH,5532.45,3347.2,8033.28,2.55,14.13,8.55,20.52,43.21,197_cecum_1,197_cecum,66.6,7.9,63.6,3,0,20.4,0,17,25.1,9.3,8.6,1.8,2.5,14305
198,164,F,33/20/48,SF09-057,TRTL_0711_40,4 kcal ,HIGH,5532.45,3347.2,8033.28,2.13,11.8,7.14,17.14,36.08,198_cecum_1,198_cecum,69.3,13.5,63.6,5.7,0,13.4,0.8,10.4,30.8,9.7,8.7,3.7,4.9,10067
135,52,F,5/48/48,SF09-060,TRTL_0211_35,4 kcal,HIGH,838.25,8033.28,8033.28,2.92,2.45,23.49,23.49,49.43,135_cecum_1,135_cecum,74.7,21.7,65.4,1.7,1.6,0,0,14.3,29.4,5.3,8.9,0.8,14.2,10868
163,112,F,5/48/48,SF09-060,TRTL_0711_5,4 kcal,HIGH,838.25,8033.28,8033.28,2.8,2.35,22.49,22.49,47.33,163_cecum_1,163_cecum,76.1,13.3,67.7,6.5,2,0.6,0,13.6,29.3,9.6,10.9,0.7,5.6,20356
199,165,M,5/48/48,SF09-060,TRTL_0711_41,4 kcal ,HIGH,838.25,8033.28,8033.28,2.44,2.05,19.61,19.61,41.27,199_cecum_1,199_cecum,64.4,31.6,58.5,3.3,2.6,0,0,13.3,16.4,16.3,8.8,9.5,8,7766
200,166,F,5/48/48,SF09-060,TRTL_0711_42,4 kcal ,HIGH,838.25,8033.28,8033.28,2.61,2.19,20.95,20.95,44.09,200_cecum_1,200_cecum,73.8,20.2,65.4,3,5.4,1.1,2.2,3.5,56.1,2.7,1.7,0.2,8.1,7015
103,13,M,14/29/57,SF09-061,TRTL_0211_3,2 kcal,LOW,1173.55,2426.72,4769.76,4.02,4.72,9.77,19.2,33.69,103_cecum_1,103_cecum,72.6,8,69.9,2.1,0,4.5,8.7,31.2,10.4,10.9,10.7,2.6,5,9519
107,14,F,14/29/57,SF09-061,TRTL_0211_7,2 kcal,LOW,1173.55,2426.72,4769.76,3.73,4.38,9.06,17.81,31.25,107_cecum_1,107_cecum,63.3,13.8,61.8,0.8,0.4,5.4,16.2,46.6,6.3,2.9,4.3,3.4,10,16729
175,129,M,14/29/57,SF09-061,TRTL_0711_17,2 kcal,LOW,1173.55,2426.72,4769.76,3.66,4.3,8.89,17.47,30.66,175_cecum_1,175_cecum,91.9,4.3,89.7,2.2,0,0.5,1.6,13.4,11.4,25.9,29.6,0.3,2.1,26423
208,184,F,14/29/57,SF09-061,TRTL_0711_50,2 kcal,LOW,1173.55,2426.72,4769.76,3.67,4.31,8.92,17.53,30.76,208_cecum_1,208_cecum,76.5,15.3,71.5,4.9,0,1.7,1.7,20.2,24.6,12.3,9.8,5.2,4.6,7367
118,33,M,14/29/57,SF09-062,TRTL_0211_18,3 kcal,MED,1760.33,3640.08,7154.64,3.68,6.48,13.41,26.35,46.24,118_cecum_1,118_cecum,58.4,31.9,53.2,3.3,0,3,0.9,10.9,17.8,7.6,12.1,5.3,25.6,9258
152,93,M,14/29/57,SF09-062,TRTL_0211_52,3 kcal,MED,1760.33,3640.08,7154.64,3.38,5.94,12.3,24.17,42.41,152_cecum_1,152_cecum,54.1,43.1,52.3,0.6,0,0,1.9,16.9,18.3,5.8,7.8,5.7,34.1,10113
188,147,M,14/29/57,SF09-062,TRTL_0711_30,3 kcal,MED,1760.33,3640.08,7154.64,3.87,6.81,14.08,27.67,48.55,188_cecum_1,188_cecum,87.6,6.6,86.1,1.5,0.1,3.3,1.3,5.7,62.9,7.1,7,0.4,2.4,19389
136,54,F,14/29/57,SF09-063,TRTL_0211_66,4 kcal,HIGH,2347.1,4853.44,9539.52,2.86,6.72,13.9,27.32,47.94,136_cecum_1,136_cecum,75.5,19.1,71.3,0.9,0.4,5,0,11.7,21.9,14.7,13.7,1.2,16.3,6225
164,113,M,14/29/57,SF09-063,TRTL_0711_6,4 kcal,HIGH,2347.1,4853.44,9539.52,3.64,8.53,17.64,34.68,60.85,164_cecum_1,164_cecum,84,9,81.4,2.1,0.5,0.7,0.1,4.1,70,3,3.2,0.1,0.4,8025
