Mouse_identifier,Cage No,Sex,%P/%C/%F,Diet Code,Sequence_run_identifier,Energy density,Energy,Prot in diet (kJ/kg D.wt),CHO in diet (kJ/kg D.wt),Fat in diet (kJ/kg D.wt),Food eaten g/mouse/d,eaten.P,eaten.C,eaten.F,Total Energy intake (kJ/d),Mouse_DNAsample_identifier,Mouse_biologicalsample_identifier,Firmicutes_Phylum,Bacteroidetes_Phylum,Clostridia_Class,Bacillae_Class,Erysipelotrichia_Class,Deferribacteres_Class,Verrucomicrobia_Class,Lachnospiraceae_Family,Clostridiaceae_Family,Ruminococcaceae_Family,Eubacteriaceae_Family,Rikenellaceae_Family,Bacteroidaceae_Family,Total_reads
110,20,F,23/38/38,SF09-070,TRTL_0211_10,2 kcal,LOW,1927.97,3179.84,3179.84,3.69,7.11,11.72,11.72,30.55,110_cecum_1,110_cecum,59.8,23.7,53.6,5.1,0.1,11,4.2,16.6,11.4,6.9,9.8,4.7,18.4,7917
179,135,M,23/38/38,SF09-070,TRTL_0711_21,2 kcal,LOW,1927.97,3179.84,3179.84,4.37,8.42,13.89,13.89,36.21,179_cecum_1,179_cecum,82.6,8.1,76.6,6,0,5,2.4,16.4,28.9,11.9,15.8,0.9,2.9,10811
212,189,M,23/38/38,SF09-070,TRTL_0711_54,2 kcal,LOW,1927.97,3179.84,3179.84,3.87,7.45,12.29,12.29,32.03,212_cecum_1,212_cecum,67.2,23.8,62.7,4.5,0.1,0,3.6,10.1,20.7,13.4,12.1,1.7,8.3,8486
213,190,F,23/38/38,SF09-070,TRTL_0711_55,2 kcal,LOW,1927.97,3179.84,3179.84,3.76,7.24,11.95,11.95,31.13,213_cecum_1,213_cecum,53.5,18.8,50.7,2.8,0,17.7,5.4,6.3,12,14.1,10.5,2.8,4.5,8748
123,39,M,23/38/38,SF09-071,TRTL_0211_23,3 kcal,MED,2891.96,4769.76,4769.76,3.68,10.63,17.53,17.53,45.7,123_cecum_1,123_cecum,78.8,12.2,76.8,1.1,0,7.2,0.1,34.5,18.3,9,9.8,2.9,8.7,9839
124,40,F,23/38/38,SF09-071,TRTL_0211_24,3 kcal,MED,2891.96,4769.76,4769.76,2.46,7.11,11.73,11.73,30.58,124_cecum_1,124_cecum,65.4,18,62.4,1.2,0.1,11.4,0.5,20.9,15.4,11.2,8.4,5.2,9.5,7450
155,99,M,23/38/38,SF09-071,TRTL_0211_56,3 kcal,MED,2891.96,4769.76,4769.76,3.66,10.58,17.45,17.45,45.48,155_cecum_1,155_cecum,42,27.3,38.9,1.3,0,27.1,0.2,10.8,12.5,7.9,3.9,8,17.9,11790
156,100,F,23/38/38,SF09-071,TRTL_0211_56,3 kcal,MED,2891.96,4769.76,4769.76,2.78,8.04,13.26,13.26,34.56,156_cecum_1,156_cecum,43,41.2,39.9,0.7,0,10.2,0.8,9.6,21.8,4.7,1.8,9.3,30.8,9332
193,153,M,23/38/38,SF09-071,TRTL_0711_35,3 kcal,MED,2891.96,4769.76,4769.76,2.81,8.13,13.42,13.42,34.97,193_cecum_1,193_cecum,75.1,14.9,69.9,4.8,0.4,3.5,1.2,13.1,23.6,15.5,13.5,1,6,7707
140,59,M,23/38/38,SF09-072,TRTL_0211_40,4 kcal,HIGH,3855.95,6359.68,6359.68,3.24,12.48,20.59,20.59,53.67,140_cecum_1,140_cecum,90.6,5.8,87.1,1.2,0,2.8,0,7.6,65.2,6.9,3.2,0.6,4.3,38274
205,173,M,23/38/38,SF09-072,TRTL_0711_47,4 kcal ,HIGH,3855.95,6359.68,6359.68,3.41,13.16,21.7,21.7,56.55,205_cecum_1,205_cecum,82.5,6.8,72.9,8.4,1.2,2.8,0.2,10.3,29.4,15.3,13.9,1.7,2.3,8238
206,174,F,23/38/38,SF09-072,TRTL_0711_48,4 kcal ,HIGH,3855.95,6359.68,6359.68,2.78,10.72,17.68,17.68,46.07,206_cecum_1,206_cecum,75,10.2,62.6,10,2.4,12.3,0,16.9,24,10.4,9.5,0.5,3.4,7244
